Date,Open,High,Low,Close,Adj Close,Volume
2018-10-18,3550.000000,3555.000000,3485.000000,3525.000000,3384.638184,28100
2018-10-19,3520.000000,3595.000000,3455.000000,3590.000000,3447.050293,40200
2018-10-22,3550.000000,3585.000000,3465.000000,3540.000000,3399.040771,50900
2018-10-23,3530.000000,3530.000000,3415.000000,3425.000000,3288.620117,40400
2018-10-24,3425.000000,3460.000000,3370.000000,3435.000000,3298.221924,41100
2018-10-25,3350.000000,3460.000000,3330.000000,3425.000000,3288.620117,66000
2018-10-26,3495.000000,3555.000000,3385.000000,3485.000000,3346.231201,145900
2018-10-29,3455.000000,3790.000000,3325.000000,3710.000000,3562.271729,318700
2018-10-30,3710.000000,3765.000000,3585.000000,3595.000000,3451.850830,68100
2018-10-31,3705.000000,3845.000000,3630.000000,3800.000000,3648.688232,74100
2018-11-01,3735.000000,3780.000000,3585.000000,3590.000000,3447.050293,53200
2018-11-02,3730.000000,3795.000000,3665.000000,3750.000000,3600.678955,66000
2018-11-05,3780.000000,3935.000000,3750.000000,3855.000000,3701.498047,74300
2018-11-06,3925.000000,3950.000000,3820.000000,3830.000000,3677.493408,43900
2018-11-07,3760.000000,3855.000000,3740.000000,3755.000000,3605.479980,40500
2018-11-08,3720.000000,3800.000000,3720.000000,3755.000000,3605.479980,40700
2018-11-09,3770.000000,3785.000000,3720.000000,3730.000000,3581.475586,26200
2018-11-12,3710.000000,3770.000000,3660.000000,3665.000000,3519.063477,27000
2018-11-13,3600.000000,3710.000000,3585.000000,3640.000000,3495.058838,62800
2018-11-14,3640.000000,3665.000000,3535.000000,3535.000000,3394.240234,46600
2018-11-15,3500.000000,3595.000000,3475.000000,3490.000000,3351.031738,48800
2018-11-16,3485.000000,3505.000000,3415.000000,3460.000000,3322.226563,48100
2018-11-19,3430.000000,3580.000000,3430.000000,3570.000000,3427.846436,76100
2018-11-20,3540.000000,3595.000000,3525.000000,3530.000000,3389.439209,15200
2018-11-21,3530.000000,3625.000000,3510.000000,3585.000000,3442.249023,33200
2018-11-22,3620.000000,3640.000000,3550.000000,3560.000000,3418.244629,14100
2018-11-23,3560.000000,3560.000000,3560.000000,3560.000000,3418.244629,0
2018-11-26,3580.000000,3580.000000,3510.000000,3510.000000,3370.235596,10800
2018-11-27,3530.000000,3610.000000,3515.000000,3590.000000,3447.050293,19400
2018-11-28,3630.000000,3630.000000,3500.000000,3545.000000,3403.842041,21200
2018-11-29,3585.000000,3645.000000,3550.000000,3605.000000,3461.452393,40700
2018-11-30,3650.000000,3705.000000,3620.000000,3620.000000,3475.855469,62400
2018-12-03,3625.000000,3670.000000,3555.000000,3640.000000,3495.058838,44000
2018-12-04,3670.000000,3680.000000,3545.000000,3545.000000,3403.842041,23900
2018-12-05,3465.000000,3540.000000,3465.000000,3500.000000,3360.633789,38300
2018-12-06,3465.000000,3520.000000,3450.000000,3520.000000,3379.837402,25100
2018-12-07,3540.000000,3550.000000,3475.000000,3530.000000,3389.439209,17500
2018-12-10,3540.000000,3705.000000,3530.000000,3670.000000,3523.864502,70300
2018-12-11,3620.000000,3845.000000,3610.000000,3715.000000,3567.072754,85100
2018-12-12,3710.000000,3845.000000,3700.000000,3830.000000,3677.493408,45400
2018-12-13,3860.000000,3915.000000,3815.000000,3865.000000,3711.099854,60200
2018-12-14,3890.000000,3975.000000,3835.000000,3855.000000,3701.498047,51300
2018-12-17,3850.000000,3865.000000,3765.000000,3825.000000,3672.692871,60300
2018-12-18,3755.000000,3790.000000,3675.000000,3730.000000,3581.475586,51800
2018-12-19,3685.000000,3780.000000,3680.000000,3695.000000,3547.869141,44000
2018-12-20,3655.000000,3840.000000,3640.000000,3740.000000,3591.077393,60200
2018-12-21,3700.000000,3770.000000,3650.000000,3690.000000,3543.067871,68200
2018-12-24,3690.000000,3690.000000,3690.000000,3690.000000,3543.067871,0
2018-12-25,3550.000000,3625.000000,3465.000000,3600.000000,3456.651855,94200
2018-12-26,3670.000000,3715.000000,3635.000000,3655.000000,3509.461914,49500
2018-12-27,3800.000000,3920.000000,3780.000000,3895.000000,3739.905518,72200
2018-12-28,3935.000000,4080.000000,3925.000000,4045.000000,3883.932617,93100
2018-12-31,4045.000000,4045.000000,4045.000000,4045.000000,3883.932617,0
2019-01-04,3995.000000,4090.000000,3915.000000,4040.000000,3879.131592,56500
2019-01-07,4100.000000,4140.000000,4015.000000,4040.000000,3879.131592,50200
2019-01-08,4045.000000,4200.000000,4045.000000,4165.000000,3999.154053,88000
2019-01-09,4135.000000,4220.000000,4105.000000,4170.000000,4003.955322,41000
2019-01-10,4145.000000,4210.000000,4140.000000,4200.000000,4032.760498,28400
2019-01-11,4200.000000,4250.000000,4170.000000,4240.000000,4071.167969,33800
2019-01-15,4200.000000,4240.000000,4165.000000,4220.000000,4051.964111,42200
2019-01-16,4200.000000,4350.000000,4180.000000,4255.000000,4085.570313,50300
2019-01-17,4325.000000,4325.000000,4255.000000,4310.000000,4138.380859,18200
2019-01-18,4375.000000,4495.000000,4375.000000,4435.000000,4258.403320,45100
2019-01-21,4540.000000,4560.000000,4395.000000,4410.000000,4234.398438,79400
2019-01-22,4395.000000,4425.000000,4215.000000,4315.000000,4143.181641,67000
2019-01-23,4250.000000,4315.000000,4230.000000,4285.000000,4114.375488,47600
