Score,Scored by,Popularity Rank,Rating Rank,Members,Date
8.53,"480,906",35,962,"836,542",Sat Apr 13 2019 03:54:02 GMT-0400 (Eastern Daylight Time)
8.53,"481,416",34,952,"837,663",Mon Apr 15 2019 14:20:30 GMT-0400 (Eastern Daylight Time)
8.53,"481,808",34,942,"838,542",Wed Apr 17 2019 14:15:07 GMT-0400 (Eastern Daylight Time)
8.53,"482,524",34,942,"839,942",Sat Apr 20 2019 21:55:23 GMT-0400 (Eastern Daylight Time)
8.53,"482,690",34,942,"840,297",Sun Apr 21 2019 17:43:19 GMT-0400 (Eastern Daylight Time)
8.53,"482,757",34,942,"840,467",Mon Apr 22 2019 00:28:12 GMT-0400 (Eastern Daylight Time)
8.53,"482,946",35,942,"840,833",Mon Apr 22 2019 19:47:33 GMT-0400 (Eastern Daylight Time)
8.53,"482,946",34,942,"840,860",Mon Apr 22 2019 20:34:58 GMT-0400 (Eastern Daylight Time)
8.53,"482,946",34,942,"840,860",Mon Apr 22 2019 21:12:38 GMT-0400 (Eastern Daylight Time)
8.53,"483,023",34,942,"840,981",Tue Apr 23 2019 02:13:31 GMT-0400 (Eastern Daylight Time)
8.53,"483,023",34,942,"840,997",Tue Apr 23 2019 02:21:05 GMT-0400 (Eastern Daylight Time)
8.53,"483,377",34,942,"841,723",Wed Apr 24 2019 20:48:09 GMT-0400 (Eastern Daylight Time)
8.53,"483,648",35,942,"842,203",Thu Apr 25 2019 23:53:24 GMT-0400 (Eastern Daylight Time)
8.53,"483,987",35,942,"842,913",Sun Apr 28 2019 05:29:55 GMT-0400 (Eastern Daylight Time)
8.53,"484,031",35,942,"843,033",Sun Apr 28 2019 13:14:46 GMT-0400 (Eastern Daylight Time)
8.53,"484,031",35,942,"843,095",Sun Apr 28 2019 16:29:22 GMT-0400 (Eastern Daylight Time)
8.53,"484,249",34,952,"843,413",Mon Apr 29 2019 11:24:05 GMT-0400 (Eastern Daylight Time)
8.53,"484,336",34,952,"843,571",Mon Apr 29 2019 22:11:00 GMT-0400 (Eastern Daylight Time)
8.53,"484,392",34,952,"843,681",Tue Apr 30 2019 02:20:08 GMT-0400 (Eastern Daylight Time)
8.53,"484,770",35,952,"844,439",Thu May 02 2019 02:56:35 GMT-0400 (Eastern Daylight Time)
8.53,"484,780",35,952,"844,450",Thu May 02 2019 03:59:55 GMT-0400 (Eastern Daylight Time)
8.53,"485,177",35,952,"845,365",Sat May 04 2019 18:24:48 GMT-0400 (Eastern Daylight Time)
8.53,"485,177",35,952,"845,365",Sat May 04 2019 18:24:51 GMT-0400 (Eastern Daylight Time)
8.53,"485,310",35,952,"845,745",Sun May 05 2019 16:46:58 GMT-0400 (Eastern Daylight Time)
8.53,"485,408",35,952,"845,901",Sun May 05 2019 23:09:22 GMT-0400 (Eastern Daylight Time)
8.53,"485,600",34,952,"846,212",Mon May 06 2019 19:48:58 GMT-0400 (Eastern Daylight Time)
8.53,"485,934",34,942,"846,880",Wed May 08 2019 18:40:04 GMT-0400 (Eastern Daylight Time)
8.53,"486,111",34,942,"847,217",Thu May 09 2019 21:10:33 GMT-0400 (Eastern Daylight Time)
8.53,"486,179",34,942,"847,357",Fri May 10 2019 07:23:57 GMT-0400 (Eastern Daylight Time)
8.53,"486,257",35,932,"847,521",Fri May 10 2019 19:31:32 GMT-0400 (Eastern Daylight Time)
8.53,"486,498",35,932,"848,024",Sun May 12 2019 07:44:14 GMT-0400 (Eastern Daylight Time)
8.53,"486,572",35,932,"848,165",Sun May 12 2019 17:25:47 GMT-0400 (Eastern Daylight Time)
8.53,"486,589",35,932,"848,202",Sun May 12 2019 22:55:32 GMT-0400 (Eastern Daylight Time)
8.53,"486,634",35,932,"848,324",Mon May 13 2019 06:23:35 GMT-0400 (Eastern Daylight Time)
8.53,"486,727",35,932,"848,528",Mon May 13 2019 20:06:32 GMT-0400 (Eastern Daylight Time)
8.53,"486,837",35,932,"848,735",Tue May 14 2019 11:54:30 GMT-0400 (Eastern Daylight Time)
8.53,"487,050",34,932,"849,241",Wed May 15 2019 21:47:45 GMT-0400 (Eastern Daylight Time)
8.53,"487,403",35,932,"849,932",Fri May 17 2019 21:29:15 GMT-0400 (Eastern Daylight Time)
8.53,"487,566",35,932,"850,241",Sat May 18 2019 19:56:53 GMT-0400 (Eastern Daylight Time)
8.53,"487,719",35,932,"850,572",Sun May 19 2019 18:02:13 GMT-0400 (Eastern Daylight Time)
8.53,"487,939",35,932,"851,052",Mon May 20 2019 21:32:02 GMT-0400 (Eastern Daylight Time)
8.53,"487,961",35,932,"851,113",Mon May 20 2019 23:48:06 GMT-0400 (Eastern Daylight Time)
8.52,"482,047",35,932,"851,416",Tue May 21 2019 16:58:33 GMT-0400 (Eastern Daylight Time)
8.53,"488,143",35,932,"851,455",Tue May 21 2019 18:31:02 GMT-0400 (Eastern Daylight Time)
8.53,"488,187",35,932,"851,557",Tue May 21 2019 23:04:17 GMT-0400 (Eastern Daylight Time)
8.53,"488,484",36,932,"852,196",Thu May 23 2019 15:41:44 GMT-0400 (Eastern Daylight Time)
8.53,"488,520",36,932,"852,250",Thu May 23 2019 19:20:14 GMT-0400 (Eastern Daylight Time)
8.53,"488,660",36,932,"852,573",Fri May 24 2019 17:49:55 GMT-0400 (Eastern Daylight Time)
8.53,"488,735",35,932,"852,681",Fri May 24 2019 23:57:42 GMT-0400 (Eastern Daylight Time)
8.53,"488,818",36,932,"852,875",Sat May 25 2019 15:05:51 GMT-0400 (Eastern Daylight Time)
8.53,"488,988",36,932,"853,186",Sun May 26 2019 10:21:48 GMT-0400 (Eastern Daylight Time)
8.53,"489,053",36,932,"853,376",Sun May 26 2019 18:57:16 GMT-0400 (Eastern Daylight Time)
8.53,"489,302",36,932,"853,932",Mon May 27 2019 22:04:24 GMT-0400 (Eastern Daylight Time)
8.53,"489,550",36,932,"854,382",Tue May 28 2019 23:37:46 GMT-0400 (Eastern Daylight Time)
8.53,"489,761",36,932,"854,792",Thu May 30 2019 01:06:50 GMT-0400 (Eastern Daylight Time)
8.53,"490,108",36,932,"855,430",Fri May 31 2019 17:57:25 GMT-0400 (Eastern Daylight Time)
8.53,"490,108",36,932,"855,430",Fri May 31 2019 17:57:42 GMT-0400 (Eastern Daylight Time)
8.53,"490,175",36,932,"855,576",Sat Jun 01 2019 01:50:07 GMT-0400 (Eastern Daylight Time)
8.53,"490,175",36,932,"855,576",Sat Jun 01 2019 01:50:08 GMT-0400 (Eastern Daylight Time)
8.53,"490,499",36,932,"856,265",Sun Jun 02 2019 20:52:59 GMT-0400 (Eastern Daylight Time)
